ch,name,cat,lang,status,reason,wifi_outcome,wifi_ttff_ms,wifi_code,wifi_phase,wifi_manifest_ms,wifi_segment_ms,wifi_adv_s,4g_outcome,4g_ttff_ms,4g_code,4g_phase,4g_manifest_ms,4g_segment_ms,4g_adv_s,3g_outcome,3g_ttff_ms,3g_code,3g_phase,3g_manifest_ms,3g_segment_ms,3g_adv_s,2g_outcome,2g_ttff_ms,2g_code,2g_phase,2g_manifest_ms,2g_segment_ms,2g_adv_s,host,variants,lowest_kbps,seg_kb,segdur_s,url
97,DD Goa,DD,Hindi,ok,Plays everywhere tested,ok,677,,frame,126,383,2.5,ok,1085,,frame,146,1018,2.4,ok,1836,,frame,185,1769,2.4,ok,4475,,frame,494,4431,2.5,d3qs3d2rkhfqrt.cloudfront.net,3,401,,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/e5b9db1cc184406bb97159da2f120f91/index.m3u8
98,DD Haryana,DD,Hindi,ok,Plays everywhere tested,ok,553,,frame,91,211,2.5,ok,877,,frame,139,821,2.5,ok,1848,,frame,214,1790,2.4,ok,6100,,frame,506,6053,2.5,d2lk5u59tns74c.cloudfront.net,3,401,,6.0,https://d2lk5u59tns74c.cloudfront.net/out/v1/950fc69666474351bde0a32b9600c804/index.m3u8
99,DD Himachal Pradesh,DD,Hindi,ok,Plays everywhere tested,ok,476,,frame,111,295,2.5,ok,876,,frame,92,810,2.5,ok,1908,,frame,172,1841,2.5,ok,5996,,frame,432,5938,2.5,d3qs3d2rkhfqrt.cloudfront.net,3,401,,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/afd2e335b0ba40eb9bdf1096118c6ede/index.m3u8
100,DD India,DD,Hindi,ok,Plays everywhere tested,ok,652,,frame,60,268,2.5,ok,1059,,frame,153,998,2.5,ok,2226,,frame,227,2166,2.5,ok,6114,,frame,503,6052,2.5,d3qs3d2rkhfqrt.cloudfront.net,5,401,,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/ceda14583477426aa162a65392d8ea07/index.m3u8
101,DD Jharkhand,DD,Hindi,ok,Plays everywhere tested,ok,495,,frame,109,231,2.5,ok,824,,frame,148,773,2.5,ok,1488,,frame,233,1434,2.5,ok,6007,,frame,502,5930,2.5,d3qs3d2rkhfqrt.cloudfront.net,3,401,,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/e8c3741f8c154d3185831f4e31777fb2/index.m3u8
102,DD Kisan,Education,Hindi,ok,Plays everywhere tested,ok,1302,,frame,157,509,2.5,ok,1171,,frame,87,786,2.5,ok,2656,,frame,258,1977,2.5,ok,7413,,frame,516,5717,2.1,cdn-6.pishow.tv,2,691,1026,4.0,https://cdn-6.pishow.tv/live/9/master.m3u8
103,DD Madhya Pradesh,DD,Hindi,ok,Plays everywhere tested,ok,1771,,frame,285,843,2.5,ok,1281,,frame,97,880,2.5,ok,2369,,frame,172,1685,2.4,ok,7440,,frame,427,5717,2.4,cdn-1.pishow.tv,2,691,1073,4.0,https://cdn-1.pishow.tv/live/31/master.m3u8
104,DD National HD,Entertainment,Hindi,ok,Plays everywhere tested,ok,251,,frame,109,199,2.5,ok,4085,,,,,2.5,ok,4568,,frame,232,2119,2.5,ok,6902,,frame,491,6851,2.5,d3qs3d2rkhfqrt.cloudfront.net,5,401,,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/40492a64c1db4a1385ba1a397d357d3a/index.m3u8
105,DD National SD,Entertainment,Hindi,ok,Plays everywhere tested,ok,2975,,frame,279,2348,2.5,ok,1367,,frame,98,1023,2.5,ok,2684,,frame,175,1943,2.5,ok,7797,,frame,602,6122,2.4,cdn-1.pishow.tv,2,691,993,4.0,https://cdn-1.pishow.tv/live/11/master.m3u8
106,DD News HD,News,Hindi,ok,Plays everywhere tested,ok,824,,frame,97,298,2.5,ok,967,,frame,93,922,2.5,ok,7414,,frame,229,2327,2.5,ok,6238,,frame,425,6177,2.5,d3qs3d2rkhfqrt.cloudfront.net,5,399,295,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/0811cd8c37ca4c409d5385a6cd2fa18b/index.m3u8
107,DD Punjabi,Culture,Punjabi,ok,Plays everywhere tested,ok,465,,frame,102,279,2.5,ok,1230,,frame,184,1151,2.5,ok,2075,,frame,215,2030,2.5,ok,5687,,frame,431,5609,2.4,d3qs3d2rkhfqrt.cloudfront.net,3,401,,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/da821c24a59d4e57960497aeaca8fb33/index.m3u8
108,DD Rajasthan,DD,Hindi,ok,Plays everywhere tested,ok,1078,,frame,75,636,2.5,ok,1411,,frame,98,998,2.5,ok,2810,,frame,185,2020,2.5,ok,7533,,frame,638,5896,2.5,cdn-1.pishow.tv,2,691,972,4.0,https://cdn-1.pishow.tv/live/34/master.m3u8
109,DD Sports SD,Sports,Hindi,ok,Plays everywhere tested,ok,541,,frame,95,224,2.5,ok,812,,frame,93,754,2.4,ok,1920,,frame,208,1844,2.5,ok,6600,,frame,488,6535,2.5,d3qs3d2rkhfqrt.cloudfront.net,5,401,,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/b17adfe543354fdd8d189b110617cddd/index.m3u8
110,DD Urdu,DD,Urdu,ok,Plays everywhere tested,ok,1683,,frame,150,1026,2.5,ok,1394,,frame,212,949,2.5,ok,2669,,frame,276,1971,2.5,ok,7158,,frame,575,5523,2.4,cdn-4.pishow.tv,2,691,1003,4.0,https://cdn-4.pishow.tv/live/8/master.m3u8
111,DD Uttar Pradesh,DD,Hindi,ok,Plays everywhere tested,ok,1295,,frame,87,556,2.5,ok,1417,,frame,101,978,2.5,ok,2805,,frame,307,2081,2.5,ok,7443,,frame,622,5753,2.4,cdn-1.pishow.tv,2,691,1012,4.0,https://cdn-1.pishow.tv/live/36/master.m3u8
112,DD Uttarakhand,DD,Hindi,ok,Plays everywhere tested,ok,3751,,frame,94,1138,2.5,ok,1560,,frame,268,1133,2.5,ok,2849,,frame,341,2132,2.5,ok,7592,,frame,589,5881,2.5,cdn-1.pishow.tv,2,691,1023,4.0,https://cdn-1.pishow.tv/live/17/master.m3u8
113,Dharsan TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1642,,frame,157,1563,2.5,ok,5334,,frame,370,5165,1.7,error,,timeout_frame,segment,235,,,error,,timeout_frame,segment,589,,,cable91tataplay.akamaized.net,1,3100,2083,5.4,https://cable91tataplay.akamaized.net/live/dharshantv/index.m3u8
114,Dheeran TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1163,,frame,264,1095,2.5,ok,3538,,frame,230,3414,2.5,error,,timeout_frame,segment,304,,,error,,timeout_frame,segment,575,,,live.we2live.in,1,1830,1322,6.0,https://live.we2live.in/dheerantv/dheerantv/playlist.m3u8
115,Epic TV Digital,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1653,,frame,369,1361,2.5,ok,2057,,frame,170,1948,2.5,ok,4493,,frame,371,4441,2.5,error,,timeout_frame,segment,527,,,cc-czbq30x55knit.akamaized.net,4,950,2707,6.0,https://cc-czbq30x55knit.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-czbq30x55knit/DIYC/PMSL/IN10/Epic_TV_IN_B/Epic_TV_IN_B.m3u8
116,ET Now,Business,Hindi,dead,Failed every attempt on Wi-Fi (2) and 4g (2),error,,levelLoadError,playlist,764,,,error,,levelLoadError,playlist,731,,,error,,levelLoadError,playlist,887,,,error,,levelLoadError,playlist,944,,,pubads.g.doubleclick.net,4,64,,,https://pubads.g.doubleclick.net/ssai/event/pJrzNyDoT_K_GwYQsijTsQ/master.m3u8
117,ETV News,News,Hindi,heavy-2g,Fails only on 2g,ok,1458,,frame,379,620,2.5,ok,4192,,frame,557,4115,0.7,ok,10512,,frame,528,10371,0.7,error,,timeout_frame,segment,532,,,cc-3448kp65yhc5w.akamaized.net,5,434,5493,10.0,https://cc-3448kp65yhc5w.akamaized.net/WWBI/Amagi/ETV_News_IN/playlist.m3u8
118,Goldmines,Movies,Hindi,ok,Plays everywhere tested,ok,2014,,frame,279,879,2.5,ok,1209,,frame,107,841,2.5,ok,2699,,frame,172,1923,2.5,ok,7444,,frame,571,5795,2.4,cdn-2.pishow.tv,2,691,955,4.0,https://cdn-2.pishow.tv/live/1459/master.m3u8
119,Goldmines 2,Movies,Hindi,ok,Plays everywhere tested,ok,1420,,frame,276,839,2.5,ok,1612,,frame,353,1306,2.4,ok,2844,,frame,341,2093,2.5,ok,7463,,frame,627,5780,2.5,cdn-2.pishow.tv,2,691,982,4.0,https://cdn-2.pishow.tv/live/1460/master.m3u8
120,GoodNews TV,Devotional,Hindi,heavy-2g,Fails only on 2g,ok,2585,,frame,931,2518,2.5,ok,2965,,frame,984,2906,2.5,ok,4950,,frame,1192,4894,2.5,error,,timeout_frame,segment,1163,,,bpgdlwwar3ze-hls-live.wmncdn.net,1,805,557,6.0,https://bpgdlwwar3ze-hls-live.wmncdn.net/goodnews/live.stream/playlist.m3u8
121,GTC News,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,3186,,frame,256,2251,2.5,ok,2427,,frame,252,2375,2.5,no_outcome,,no_outcome_32000,,,,,error,,timeout_frame,segment,532,,,vglivessai.akamaized.net,4,730,,2.0,https://vglivessai.akamaized.net/sg/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/921cca59-daee-4f89-8c38-7ffe8de44f4c/index.m3u8
122,GTC Punjabi,Entertainment,Punjabi,heavy-2g,Fails only on 2g,ok,1185,,frame,243,576,2.5,ok,1662,,frame,166,1591,2.5,ok,3669,,frame,278,3613,2.5,error,,timeout_frame,segment,634,,,gtc-yupp.vgcdn.net,4,770,558,6.0,https://gtc-yupp.vgcdn.net/vglive-sk-254807/index.m3u8
123,Guarantee News,News,Hindi,flaky,"Failed on 4g (both attempts), played on Wi-Fi",ok,1875,,frame,181,1741,2.4,error,,timeout_frame,segment,238,,,error,,timeout_frame,segment,295,,,error,,timeout_frame,segment,569,,,guaranteenews.in:8443,0,,3683,10.0,https://guaranteenews.in:8443/live/gnews/index.m3u8
124,Gyandarshan,Education,Hindi,ok,Plays everywhere tested,ok,842,,frame,51,333,2.5,ok,1314,,frame,188,907,2.5,ok,2653,,frame,277,2014,2.5,ok,7283,,frame,459,5512,2,cdn-6.pishow.tv,2,691,1013,4.0,https://cdn-6.pishow.tv/live/14/master.m3u8
126,Harvest TV,Devotional,Hindi,heavy-2g,Fails only on 2g,ok,2477,,frame,994,2345,2.5,ok,5324,,frame,952,5215,2.5,ok,7274,,frame,1323,7189,2.5,error,,timeout_frame,segment,969,,,7mbd4ogkr3gx-hls-live.wmncdn.net,1,1647,,6.1,https://7mbd4ogkr3gx-hls-live.wmncdn.net/harvesttvlive1/bbb19eae240ec100af921d511efc86a0.sdp/index.m3u8
127,Hebron TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,748,,frame,218,585,2.5,ok,5665,,frame,222,5500,2.5,error,,timeout_frame,segment,290,,,error,,timeout_frame,segment,573,,,account20.livebox.co.in,0,,2304,5.9,https://account20.livebox.co.in/charleshls/live.m3u8
128,Hi Dost!,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1749,,frame,257,862,2.5,ok,1402,,frame,90,944,2.5,ok,2258,,frame,172,1608,2.5,error,,timeout_frame,decoding,539,6806,,cdn-1.pishow.tv,2,691,950,4.0,https://cdn-1.pishow.tv/live/224/master.m3u8
129,High News,News,Hindi,heavy-2g,Fails only on 2g,ok,2350,,frame,676,2288,2.4,ok,3804,,frame,557,3627,2.5,ok,18450,,frame,641,18362,2.5,error,,timeout_frame,segment,855,,,highmedia.livebox.co.in,0,,1274,6.0,https://highmedia.livebox.co.in/HIGHNEWShls/LIVE.m3u8
130,Hindi Khabar,News,Hindi,ok,Plays everywhere tested,ok,1329,,frame,90,607,2.5,ok,1339,,frame,242,1007,2.4,ok,2837,,frame,351,2174,2.5,ok,7096,,frame,613,5427,2.5,cdn-2.pishow.tv,2,691,1031,4.0,https://cdn-2.pishow.tv/live/1041/master.m3u8
131,Hindu Dharmam,Devotional,Hindi,ok,Plays everywhere tested,ok,857,,frame,86,535,2.5,ok,1760,,frame,265,1252,2.5,ok,2827,,frame,330,2120,2.5,ok,7419,,frame,632,5769,2.5,cdn-1.pishow.tv,2,691,992,4.0,https://cdn-1.pishow.tv/live/959/master.m3u8
132,IBC 24,News,Hindi,ok,Plays everywhere tested,ok,892,,frame,173,449,2.5,ok,1624,,frame,209,1224,2.5,ok,2750,,frame,274,2039,2.5,ok,7439,,frame,560,5790,2,cdn-3.pishow.tv,2,691,994,4.0,https://cdn-3.pishow.tv/live/220/master.m3u8
133,India Daily Live,News,Hindi,heavy-2g,Fails only on 2g,ok,1459,,frame,292,607,2.5,ok,1641,,frame,246,1563,2.2,ok,3180,,frame,296,3067,2.5,error,,timeout_frame,segment,886,,,indiadaily.ottlive.co.in,4,1700,473,6.0,https://indiadaily.ottlive.co.in/indiadailylive/index.m3u8
135,India TV Speed News,News,Hindi,heavy-2g,Fails only on 2g,ok,817,,frame,120,485,2.5,ok,1524,,frame,145,1460,2.5,ok,3135,,frame,281,3072,2.4,error,,timeout_frame,segment,504,,,cc-lyf4c0hwzg5dd.akamaized.net,4,548,438,6.0,https://cc-lyf4c0hwzg5dd.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-lyf4c0hwzg5dd/v1/vglive-sk-479089/main.m3u8
136,INFAST,Lifestyle,Hindi,heavy-2g,Fails only on 2g,ok,3269,,frame,246,1465,2.5,ok,2620,,frame,246,2556,2.4,ok,4649,,frame,249,4561,2.4,error,,timeout_frame,segment,536,,,amg00861-terninternation-lifestyle-samsungau-kdlyy.amagi.tv,4,986,704,6.0,https://amg00861-terninternation-lifestyle-samsungau-kdlyy.amagi.tv/playlist/amg00861-terninternation-lifestyle-samsungau/playlist.m3u8
137,INWILD,Documentary,English,ok,Plays everywhere tested,ok,2918,,frame,262,1377,2.5,ok,1846,,frame,312,1797,2.4,ok,6946,,frame,278,2870,2.4,ok,6668,,frame,537,6613,2.4,amg00861-terninternation-inwild-samsunguk-w5wic.amagi.tv,5,394,304,6.0,https://amg00861-terninternation-inwild-samsunguk-w5wic.amagi.tv/playlist/amg00861-terninternation-inwild-samsunguk/playlist.m3u8
138,InWonder,Science,English,heavy-2g,Fails only on 2g,ok,3425,,frame,321,1470,2.5,ok,1937,,frame,272,1881,2.5,ok,3151,,frame,238,3103,2.5,error,,timeout_frame,decoding,504,15423,,amg00861-terninternation-inwonder-samsungau-1k63k.amagi.tv,5,514,395,6.0,https://amg00861-terninternation-inwonder-samsungau-1k63k.amagi.tv/playlist/amg00861-terninternation-inwonder-samsungau/playlist.m3u8
139,Ishwar Bhakti TV,Devotional,Hindi,heavy-2g,Fails only on 2g,ok,3592,,frame,1039,3542,2.5,ok,3099,,frame,1034,3030,2.5,ok,4774,,frame,944,4671,2.5,error,,timeout_frame,segment,967,,,6n3yow8pl9ok-hls-live.5centscdn.com,1,839,628,6.0,https://6n3yow8pl9ok-hls-live.5centscdn.com/ishwartvlive/tv.stream/playlist.m3u8
140,Jan TV,DD,Hindi,ok,Plays everywhere tested,ok,881,,frame,139,410,2.5,ok,1437,,frame,201,985,2.5,ok,2675,,frame,272,1959,2.5,ok,7535,,frame,532,5805,2.5,cdn-6.pishow.tv,2,691,1029,4.0,https://cdn-6.pishow.tv/live/10004/master.m3u8
141,Janta TV,News,Hindi,heavy-2g,Fails only on 2g,ok,1398,,frame,528,1325,2.5,ok,3278,,frame,650,3200,2.5,ok,1574,,frame,307,1459,2.5,error,,timeout_frame,segment,481,,,live.jswk.online,1,770,464,8.1,https://live.jswk.online/IK_RTPM/live/index.m3u8
142,Jinvani Channel,Devotional,Hindi,ok,Plays everywhere tested,ok,2067,,frame,261,1212,2.5,ok,1462,,frame,284,1135,2.5,ok,2907,,frame,393,2194,2.5,ok,7568,,frame,580,5841,2.5,cdn-2.pishow.tv,2,691,1015,4.0,https://cdn-2.pishow.tv/live/989/master.m3u8
143,Joy TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1997,,frame,573,1926,2.5,ok,4053,,frame,487,3977,2.5,error,,timeout_frame,segment,568,,,error,,timeout_frame,segment,792,,,ktismaservers.in:3412,0,,1294,4.0,https://ktismaservers.in:3412/live/joytvlive.m3u8
144,K News India,News,Hindi,dead,Failed every attempt on Wi-Fi (2) and 4g (2),error,,timeout,connecting,,,,error,,timeout,connecting,,,,error,,timeout,connecting,,,,error,,timeout,connecting,,,,mumt02.tangotv.in,,,,,https://mumt02.tangotv.in/KNEWSINDIA/index.m3u8
145,Kashish News,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,2237,,frame,431,1936,2.5,ok,3155,,frame,381,3065,2.5,error,,timeout_frame,segment,434,,,error,,timeout_frame,segment,728,,,server.thelegitpro.in,1,1290,1207,8.0,https://server.thelegitpro.in/kashishnews/kashishnews/index.m3u8
146,Life TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,618,,frame,194,541,2.5,ok,3573,,frame,216,3465,2.5,error,,timeout_frame,segment,407,,,error,,timeout_frame,segment,633,,,lifetv.livebox.co.in,0,,1495,5.4,https://lifetv.livebox.co.in/lifetvhls/lifetv.m3u8
147,Living India News,News,Punjabi,heavy-2g,Fails only on 2g,ok,1825,,frame,188,467,2.1,ok,1325,,frame,310,1229,2.5,ok,2640,,frame,303,2579,2.4,error,,timeout_frame,segment,566,,,stream.ottlive.co.in,4,490,335,6.0,https://stream.ottlive.co.in/livingindia/index.m3u8
148,Maha Movie,Movies,Hindi,ok,Plays everywhere tested,ok,1467,,frame,309,545,2.5,ok,894,,frame,183,432,2.5,ok,1404,,frame,308,759,2.5,ok,3448,,frame,551,1763,2.2,cdn-6.pishow.tv,2,691,21,4.0,https://cdn-6.pishow.tv/live/10007/master.m3u8
149,Maha Punjabi,Entertainment,Punjabi,ok,Plays everywhere tested,ok,724,,frame,158,331,2.5,ok,733,,frame,164,394,2.5,ok,1946,,frame,285,790,2.5,ok,3456,,frame,546,1749,2.1,cdn-4.pishow.tv,2,691,21,4.0,https://cdn-4.pishow.tv/live/1521/master.m3u8
150,MediBizTV,Education,Hindi,heavy-2g,Fails only on 2g,ok,2703,,frame,1146,2636,2.5,ok,3166,,frame,900,3103,2.5,ok,7613,,frame,1015,7512,2.5,error,,timeout_frame,segment,866,,,43wrzjnpqoxe-hls-live.wmncdn.net,1,1710,1060,6.7,https://43wrzjnpqoxe-hls-live.wmncdn.net/marinebiztvlive/marinebiztvlive/playlist.m3u8
151,Mercy TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1945,,frame,323,1863,2.5,ok,5254,,frame,361,5167,2.5,error,,timeout_frame,,,,,error,,timeout_frame,segment,5668,,,5dd3981940faa.streamlock.net,1,1895,2137,10.0,https://5dd3981940faa.streamlock.net/mercytv/mercytv/playlist.m3u8
152,Metro TV,DD,Hindi,heavy-2g,Fails only on 2g,ok,872,,frame,261,569,2.5,ok,2461,,frame,227,2410,2.5,ok,5889,,frame,253,5760,2.5,error,,timeout_frame,segment,802,,,mercury.streambridge.link:8042,1,1370,999,8.0,https://mercury.streambridge.link:8042/telugu/metrotv/index.m3u8
153,Mirror Now,News,Hindi,heavy-2g,Fails only on 2g,ok,2077,,frame,506,990,2.4,ok,3961,,frame,649,3894,2.5,ok,9132,,frame,478,9054,2.5,error,,timeout_frame,segment,1430,,,dai.google.com,2,911,1413,12.0,https://dai.google.com/linear/hls/event/ClPOullTQky5vGPf7fMZ8g/master.m3u8
154,MNTV,Entertainment,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1054,,frame,316,978,2.5,ok,4018,,frame,563,3948,2.5,error,,timeout_frame,segment,385,,,error,,timeout_frame,segment,718,,,mntv.livebox.co.in,0,,1176,5.4,https://mntv.livebox.co.in/mntvhls/live.m3u8
155,Mr. Bean Animated,Animation,English,heavy-2g,Fails only on 2g,ok,4378,,frame,726,1630,2.5,ok,2977,,frame,177,2889,2.5,ok,4834,,frame,236,4602,2.5,error,,timeout_frame,decoding,704,2074,,amg00627-amg00627c23-samsung-au-4110.playouts.now.amagi.tv,4,814,469,6.0,https://amg00627-amg00627c23-samsung-au-4110.playouts.now.amagi.tv/playlist.m3u8
156,Nazara,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1404,,frame,232,1010,2.5,ok,2606,,frame,325,2565,2.5,ok,5714,,frame,406,5642,2.5,error,,timeout_frame,segment,549,,,cc-p1izg43bk7sj5.akamaized.net,4,1241,3996,6.0,https://cc-p1izg43bk7sj5.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-p1izg43bk7sj5/DIYC/PMSL/IN10/Nazara_IN_B/Nazara_IN_B.m3u8
158,NDTV Madhya Pradesh Chhattisgarh,News,Hindi,flaky,"Failed once on a fast link, played on the second attempt",error,,timeout_frame,decoding,201,954,,ok,2818,,frame,165,2774,2.5,ok,3545,,frame,230,3485,2.5,error,,timeout_frame,segment,519,,,ndtvregional.akamaized.net,5,548,436,6.0,https://ndtvregional.akamaized.net/hls/live/2102726-b/ndtvmpcg/master_1.m3u8
159,NDTV Profit,Business,Hindi,flaky,"Failed on 4g (both attempts), played on Wi-Fi",ok,368,,frame,97,256,2.5,error,,timeout_frame,segment,172,,,error,,timeout_frame,segment,260,,,error,,timeout_frame,segment,487,,,ndtvprofit.akamaized.net,0,,3947,6.0,https://ndtvprofit.akamaized.net/hls/live/2107404/ndtvprofit/chunklist_5.m3u8
160,NDTV Rajasthan,News,Hindi,flaky,"Failed on Wi-Fi (both attempts), played on 4g",error,,timeout_frame,decoding,181,276,,ok,1381,,frame,195,1286,0.8,ok,3328,,frame,226,3252,2.5,error,,timeout_frame,segment,655,,,ndtvregional.akamaized.net,5,548,460,6.0,https://ndtvregional.akamaized.net/hls/live/2102726-b/ndtvraj/master_1.m3u8
161,Network 10,DD,Hindi,heavy-2g,Fails only on 2g,ok,1937,,frame,590,1838,2.5,ok,2895,,frame,490,2795,1,ok,5557,,frame,606,5452,0.2,error,,timeout_frame,segment,817,,,network10.livebox.co.in,0,,832,5.9,https://network10.livebox.co.in/network10hls/live.m3u8
162,News 1 India,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,473,,frame,141,307,2.5,ok,2666,,frame,140,2592,2.5,error,,timeout_frame,segment,210,,,error,,timeout_frame,segment,501,,,d1msejlow1t3l4.cloudfront.net,1,2227,1089,4.0,https://d1msejlow1t3l4.cloudfront.net/fta/news1india/playlist.m3u8
163,News 1st,News,Hindi,ok,Plays everywhere tested,ok,899,,frame,151,444,2.5,ok,1281,,frame,202,948,2.5,ok,2658,,frame,286,1931,2.5,ok,7534,,frame,525,5784,2.5,cdn-3.pishow.tv,2,691,989,4.0,https://cdn-3.pishow.tv/live/268/master.m3u8
164,News9Live,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,3316,,frame,94,1393,2.5,ok,1965,,frame,206,1898,2.5,no_outcome,,no_outcome_32000,,,,,error,,timeout_frame,segment,515,,,amg01106-amg01106c3-amgplt0844.playout.now3.amagi.tv,5,455,3319,6.0,https://amg01106-amg01106c3-amgplt0844.playout.now3.amagi.tv/ts-ap-s1-n1/playlist/amg01106-amg01106c3-amgplt0844/playlist.m3u8
165,News 11,DD,Hindi,dead,Failed every attempt on Wi-Fi (2) and 4g (2),error,,timeout,connecting,,,,error,,timeout,connecting,,,,error,,timeout,connecting,,,,error,,timeout,connecting,,,,mumt02.tangotv.in,,,,,https://mumt02.tangotv.in/NEWS11BHARAT/index.m3u8
166,News Daily 24,News,Hindi,ok,Plays everywhere tested,ok,1180,,frame,179,516,2.5,ok,1299,,frame,190,901,2.5,ok,2823,,frame,297,2096,2.5,ok,7740,,frame,599,6000,2.5,cdn-6.pishow.tv,2,691,1004,4.0,https://cdn-6.pishow.tv/live/10009/master.m3u8
167,News Nation,News,Hindi,ok,Plays everywhere tested,ok,538,,frame,32,227,2.5,ok,870,,frame,102,798,2.5,ok,2065,,frame,202,1964,2.5,ok,5091,,frame,515,5030,2.5,d3qs3d2rkhfqrt.cloudfront.net,5,291,,6.0,https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/6cd2f649739a45ca9de1daf81cc7d0f2/index.m3u8
168,Nireekshana TV,Devotional,Hindi,ok,Plays everywhere tested,ok,1971,,frame,250,758,2.5,ok,1311,,frame,98,910,2.5,ok,2724,,frame,303,2053,2.5,ok,7543,,frame,646,5856,2.5,cdn-1.pishow.tv,2,691,1012,4.0,https://cdn-1.pishow.tv/live/965/master.m3u8
169,NK TV 24x7,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,721,,frame,220,352,2.5,ok,9369,,frame,229,4238,2.5,error,,timeout_frame,segment,277,,,error,,timeout_frame,segment,534,,,nktv.smartstream.video,0,,1501,5.9,https://nktv.smartstream.video/smartstream-us/nktvplus/nktvplus/chunks.m3u8
170,NTC TV,Entertainment,Hindi,flaky,"Failed once on a fast link, played on the second attempt",ok,5788,,frame,966,5574,2.5,error,,timeout_frame,segment,632,,,error,,timeout_frame,segment,618,,,error,,timeout_frame,segment,611,,,galaxyott.live,0,,4388,9.4,https://galaxyott.live/hls/ntv.m3u8
171,Onkar Only Truth TV,News,Hindi,dead,Failed every attempt on Wi-Fi (2) and 4g (2),error,,manifestLoadError,connecting,,,,error,,manifestLoadError,connecting,,,,error,,manifestLoadError,connecting,,,,error,,manifestLoadError,connecting,,,,5dd3981940faa.streamlock.net,,,,,https://5dd3981940faa.streamlock.net/onkarentertainment/onkarentertainment/playlist.m3u8
172,Oscar Movies Bhojpuri,Movies,Bhojpuri,ok,Plays everywhere tested,ok,1220,,frame,199,508,2.5,ok,1330,,frame,200,912,2.5,ok,2669,,frame,261,1996,2.5,ok,7161,,frame,430,5381,2.5,cdn-4.pishow.tv,2,691,1011,4.0,https://cdn-4.pishow.tv/live/233/master.m3u8
173,Peace TV Urdu,Devotional,Urdu,heavy-2g,Fails only on 2g,ok,5901,,frame,678,4720,2.4,ok,3182,,frame,726,3126,2.5,ok,4182,,frame,718,4100,2.5,error,,timeout_frame,segment,1221,,,dzkyvlfyge.erbvr.com,4,550,382,6.0,https://dzkyvlfyge.erbvr.com/PeaceTvUrdu/index.m3u8
