ch,name,cat,lang,status,reason,wifi_outcome,wifi_ttff_ms,wifi_code,wifi_phase,wifi_manifest_ms,wifi_segment_ms,wifi_adv_s,4g_outcome,4g_ttff_ms,4g_code,4g_phase,4g_manifest_ms,4g_segment_ms,4g_adv_s,3g_outcome,3g_ttff_ms,3g_code,3g_phase,3g_manifest_ms,3g_segment_ms,3g_adv_s,2g_outcome,2g_ttff_ms,2g_code,2g_phase,2g_manifest_ms,2g_segment_ms,2g_adv_s,host,variants,lowest_kbps,seg_kb,segdur_s,url
224,The Movie Club +2,Movies,Hindi,heavy-2g,Fails only on 2g,ok,1138,,frame,245,595,2.5,ok,1759,,frame,152,1483,2.5,ok,3259,,frame,248,1655,2.5,error,,timeout_frame,decoding,475,2172,,d3gnyty2vddhsg.cloudfront.net,4,814,553,5.4,https://d3gnyty2vddhsg.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-ytipwjqub3kf8/TMC2_IN.m3u8?ads.ads_cdn=cf&ads.cdn=cf
225,The Pet Collective,Family,English,heavy,Plays on fast links only (fails on 3g),ok,2993,,frame,655,1770,2.5,ok,3534,,frame,590,3474,2.5,error,,timeout_frame,segment,570,,,ok,6808,,frame,766,6732,2.5,the-pet-collective-international-in.samsung.wurl.tv,3,922,528,6.0,https://the-pet-collective-international-in.samsung.wurl.tv/playlist.m3u8
226,Times Now Navbharat,News,Hindi,heavy-2g,Fails only on 2g,ok,2448,,frame,172,1140,2.5,ok,2181,,frame,100,2131,2.5,ok,4156,,frame,175,4107,2.5,error,,timeout_frame,segment,509,,,raw.githubusercontent.com,4,600,565,6.0,https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/in/YuppTV/TimesNowNavbharat.m3u8
227,TNP News,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1823,,frame,335,1609,2.5,ok,5110,,frame,614,5007,2.5,error,,timeout_frame,segment,434,,,error,,fragLoadTimeOut,segment,739,,,server.thelegitpro.in,1,3330,2097,6.0,https://server.thelegitpro.in/tnpnews/tnpnews/index.m3u8
228,Total Bhakti,Devotional,Hindi,ok,Plays everywhere tested,ok,510,,frame,115,197,2.5,ok,1109,,frame,151,1032,2.5,ok,2035,,frame,219,1991,2.5,ok,5728,,frame,490,5657,2.5,d34z4embz0hjf6.cloudfront.net,2,436,679,6.0,https://d34z4embz0hjf6.cloudfront.net/out/v1/d55b3323a9f142638f897378f0b526fe/index.m3u8
229,Total TV Haryana,Undefined,Hindi,ok,Plays everywhere tested,ok,1770,,frame,283,798,2.5,ok,1534,,frame,264,1144,2.5,ok,2762,,frame,341,2096,2.5,ok,18906,,frame,420,5641,2.4,cdn-2.pishow.tv,2,691,1012,4.0,https://cdn-2.pishow.tv/live/1522/master.m3u8
230,Tunes 6,Music,Hindi,dead,Failed every attempt on Wi-Fi (2) and 4g (2),error,,manifestLoadError,connecting,,,,error,,timeout,connecting,,,,error,,timeout,connecting,,,,error,,timeout,connecting,,,,stream.d6-pro.com,,,,,https://stream.d6-pro.com/tunes6music/live/video.m3u8
231,TV9 Bharatvarsh,News,Hindi,ok,Plays everywhere tested,ok,738,,frame,137,273,2.5,ok,1241,,frame,162,1200,2.5,ok,2618,,frame,238,2517,2.4,ok,6884,,frame,587,6832,2.5,dyjmyiv3bp2ez.cloudfront.net,3,512,1322,6.0,https://dyjmyiv3bp2ez.cloudfront.net/pub-iotv9hinjzgtpe/liveabr/playlist.m3u8
232,TV9 Marathi,News,Marathi,heavy-2g,Fails only on 2g,ok,562,,frame,161,332,2.5,ok,1733,,frame,190,1650,2.5,ok,3640,,frame,222,3524,2.4,error,,timeout_frame,segment,497,,,dyjmyiv3bp2ez.cloudfront.net,3,512,1052,6.0,https://dyjmyiv3bp2ez.cloudfront.net/pub-iotv9marlygv8h/liveabr/playlist.m3u8
233,TV BRICS English,DD,English,flaky,"Failed on 4g (both attempts), played on Wi-Fi",ok,4054,,frame,1895,3882,2.4,error,,timeout_frame,segment,1086,,,error,,timeout_frame,segment,1067,,,error,,timeout_frame,segment,1236,,,engbrics.mediacdn.ru,1,5700,4976,6.0,https://engbrics.mediacdn.ru/cdn/brics/english/playlist.m3u8
234,Ultimate TV,Music,Hindi,flaky,"Failed on 4g (both attempts), played on Wi-Fi",ok,882,,frame,154,725,2.5,error,,timeout_frame,segment,157,,,error,,fragLoadTimeOut,segment,232,,,error,,timeout_frame,segment,695,,,stream.ottlive.co.in,1,6580,4212,5.5,https://stream.ottlive.co.in/utvtamil/index.m3u8
235,Vedic,Devotional,Hindi,ok,Plays everywhere tested,ok,1906,,frame,132,1136,2.5,ok,1492,,frame,294,1383,2.5,ok,1696,,frame,314,1652,2.5,ok,3954,,frame,518,3903,2.5,aasthaott.akamaized.net,5,264,150,4.0,https://aasthaott.akamaized.net/110923/smil:vedic.smil/playlist.m3u8
